tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
1,1,-0.099,-34.906,2004-04-17 12:00:00,2.66,3.58,NOT_FISHING
1,1,0.03,-34.9,2004-04-17 12:58:00,1.39,4.13,NOT_FISHING
1,1,0.171,-34.89,2004-04-17 14:00:00,3.43,4.23,NOT_FISHING
1,1,0.263,-34.889,2004-04-17 14:41:00,1.95,4.16,NOT_FISHING
1,1,0.306,-34.89,2004-04-17 15:00:00,0.92,4.2,NOT_FISHING
1,1,0.444,-34.891,2004-04-17 16:00:00,1.71,4.26,NOT_FISHING
1,1,0.498,-34.893,2004-04-17 16:24:00,1.44,4.17,NOT_FISHING
1,1,0.5820000000000001,-34.894,2004-04-17 17:00:00,0.75,4.32,NOT_FISHING
1,1,0.662,-34.896,2004-04-17 17:35:00,1.43,4.24,NOT_FISHING
1,2,0.725,-34.896,2004-04-17 18:04:00,1.68,4.03,FISHING
1,2,0.861,-34.9,2004-04-17 19:00:00,3.84,4.5,FISHING
1,2,0.892,-34.903,2004-04-17 19:14:00,4.38,4.12,FISHING
1,2,0.992,-34.905,2004-04-17 19:56:00,1.15,4.41,FISHING
1,2,1.137,-34.905,2004-04-17 20:57:00,15.84,4.41,FISHING
1,2,1.211,-34.926,2004-04-17 21:35:00,12.46,3.75,FISHING
1,2,1.263,-34.954,2004-04-17 22:00:00,2.57,4.38,FISHING
1,2,1.346,-34.994,2004-04-17 22:40:00,47.28,4.27,FISHING
1,2,1.357,-35.03,2004-04-17 23:00:00,67.03,3.49,FISHING
1,2,1.283,-35.092,2004-04-17 23:55:00,63.09,3.25,FISHING
1,2,1.18,-35.048,2004-04-18 00:47:00,0.83,3.99,FISHING
1,2,1.153,-35.036,2004-04-18 01:00:00,1.5,4.21,FISHING
1,2,1.069,-34.996,2004-04-18 01:44:00,1.79,3.92,FISHING
1,2,1.036,-34.979,2004-04-18 02:00:00,6.45,4.3,FISHING
1,2,0.986,-34.96,2004-04-18 02:25:00,0.43,3.97,FISHING
1,2,0.916,-34.934,2004-04-18 03:00:00,6.34,3.95,FISHING
1,2,0.872,-34.923,2004-04-18 03:22:00,24.16,3.82,FISHING
1,2,0.8109999999999999,-34.875,2004-04-18 04:00:00,24.87,3.79,FISHING
1,2,0.747,-34.749,2004-04-18 05:05:00,24.78,4.03,FISHING
1,2,0.7090000000000001,-34.719,2004-04-18 06:07:00,54.89,1.45,FISHING
1,2,0.71,-34.701,2004-04-18 07:00:00,82.25,0.63,FISHING
1,2,0.76,-34.697,2004-04-18 08:00:00,25.5,1.55,FISHING
1,2,0.794,-34.71,2004-04-18 08:23:00,29.84,2.93,FISHING
1,2,0.845,-34.702,2004-04-18 09:00:00,13.0,2.59,FISHING
1,2,0.901,-34.706,2004-04-18 09:42:00,28.05,2.48,FISHING
1,2,0.919,-34.698,2004-04-18 10:00:00,23.96,2.03,FISHING
